,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,punta arenas,cl,-53.16,-70.91,46.4,100.0,75.0,26.4
1,isangel,vu,-19.55,169.27,80.36,100.0,68.0,10.18
2,biak,id,-0.91,122.88,74.78,100.0,80.0,2.57
3,kapaa,us,22.08,-159.32,71.6,94.0,90.0,11.41
4,ushuaia,ar,-54.81,-68.31,41.0,80.0,75.0,20.8
5,neulengbach,at,48.2,15.91,27.55,73.0,90.0,10.29
6,mataura,pf,-46.19,168.86,66.05,64.0,100.0,17.0
7,chokurdakh,ru,70.62,147.9,-36.29,72.0,8.0,3.13
9,clyde river,ca,70.47,-68.59,-13.01,69.0,40.0,16.11
10,hilo,us,19.71,-155.08,75.2,78.0,75.0,8.05
11,albany,au,42.65,-73.75,27.03,30.0,20.0,16.11
12,hithadhoo,mv,-0.6,73.08,85.22,98.0,88.0,8.61
13,halifax,ca,44.65,-63.58,26.6,45.0,20.0,16.11
14,carballo,es,43.21,-8.69,46.33,81.0,40.0,8.05
17,vaini,to,15.34,74.49,66.59,91.0,8.0,2.13
18,margate,za,-43.03,147.26,64.4,55.0,40.0,26.4
19,atuona,pf,-9.8,-139.03,82.34,98.0,56.0,19.24
20,fort smith,us,35.39,-94.42,66.2,45.0,40.0,8.05
22,dzerzhinsk,ru,56.24,43.46,10.4,66.0,0.0,4.47
24,rikitea,pf,-23.12,-134.97,80.0,100.0,56.0,14.32
25,bathsheba,bb,13.22,-59.52,82.4,65.0,40.0,12.75
26,longyearbyen,sj,78.22,15.63,14.0,61.0,40.0,26.4
27,souillac,mu,45.6,-0.6,43.59,70.0,0.0,9.17
28,princeton,ca,41.37,-89.46,51.8,34.0,1.0,3.36
29,lompoc,us,34.64,-120.46,57.24,58.0,1.0,11.41
30,turukhansk,ru,65.8,87.96,8.27,80.0,92.0,6.49
31,somerset,us,37.09,-84.6,55.36,54.0,90.0,3.36
33,mayo,ca,63.59,-135.9,28.4,74.0,75.0,2.24
34,severnyy-kospashskiy,ru,59.09,57.8,1.79,76.0,76.0,14.65
35,nikolskoye,ru,59.7,30.79,32.0,91.0,20.0,11.18
36,busselton,au,-33.64,115.35,60.74,100.0,0.0,13.2
